Continent,Country,Location,Latitude,Longitute,Year Opened,Year Closed,Number of rocket launches,Heaviest rocket launched,Highest achieved Orbit
South America,Brazil,"Alcântara Launch Center, Maranhão",2.316,-44.3676,1990,Operational,35  ,6737,956 km  
South America,French Guiana,"Guiana Space Centre, Kourou",5.23739,-52.7695,1968,Operational,200  ,777000,Interplanetary  
South America,Peru,Chilca,12.50477,-76.79849,Unkown,Unkown,Unkown,Unkown,Unkown
South America,Peru,Punta Lobos,12.5,-76.8,Unkown,Unkown,Unkown,2000  ,Unkown
South America,Suriname,Coronie,5.87241,-56.28908,1965,1965,4  ,Unkown,Orbital  
Ocenia,Australia,Woomera Test Range,-30.95875,136.50366,1950s,Operational,Unkown,28000  ,Orbital  
Ocenia,Australia,Carnarvon,-24.48564,113.40866,1964,1965,12  ,Unkown,Orbital  
Ocenia,Australia,Lancelin,-30.98309,115.31774,1974,1974,2  ,Unkown,Unkown
Ocenia,Marshall Islands,"Reagan Test Site, Omelek Island, Kwajalein Atoll",-9.048167,167.743083,1950,Operational,Unkown,39000,Unkown
Ocenia,New Zealand,Birdling's Flat,-43.817,172.683,Unkown,Unkown,Unkown,Unkown,Unkown
,,,,,,,,,
