"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data
"CartoSat 2 (IRS P7, CartoSat 2AT)",India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,632,635,2.14E-04,97,97.4,680,,,1/10/2007,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,2007-001B,29710,"Remote sensing and mapping; panchromatic images at one-meter resolution to be used for civil planning ""and other cartographic needs.""",www.satellitedebris.net 12/12
CartoSat 2A,India,India,Indian Space Research Organization (ISRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,624,643,1.36E-03,97.9,97.4,680,,,4/28/2008,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C9,2008-021A,32783,Military version of CartoSat 2; dedicated satellite for the Indian armed forces.,www.satellitedebris.net 12/12
CartoSat 2B,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,622,645,1.64E-03,97.9,97.4,694,,,7/12/2010,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2010-035A,36795,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories.",www.satellitedebris.net 12/12
CartoSat 2C,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,501,519,1.31E-03,97.5,94.8,727,,,6/22/2016,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,2016-040A,41599,Lower orbit for military application.,ZARYA
CartoSat 2D,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,491,508,1.24E-03,97.5,94.8,714,,,2/15/2017,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV XL,2017-008A,41948,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories.",JMSatcat/9_17
CartoSat 2E,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,334,347,9.69E-04,96.92,91.34,712,,,6/22/2017,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2017-036C,42767,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories.",
CartoSat 2F,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,495,510,1.09E-03,97.5,94.6,712,,,1/11/2018,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2018-004A,43111,"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories.",JMSatcat/5_18
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),NR,Canada,Canadian Space Agency,Government,Earth Science,,LEO,Elliptical,0.00,325,"1,486",7.98E-02,81,103.11,490,,600,9/29/2013,2,Canadian Space Agency,Canada,Vandenberg AFB,Falcon 9,2013-055A,39265,"Study the effect of solar storms on radio communications, satellite navigation and other ground-based technologies.",ZARYA
CATSat-1,NR,USA,Johns Hopkins Applied Physics Laboratory,Civil,Technology Development,,LEO,Non-Polar Inclined,0.00,402,409,5.17E-04,51.6,92.7,4,,,1/31/2019,,Johns Hopkins Applied Physics Laboratory,USA,International Space Station,Nanorack Deployer,1998-067PZ,44033,"Commercial, off-the-shelf spacecraft. Government supplied communications experiment.",JMSatcat/3_19
CATSat-2,NR,USA,Johns Hopkins Applied Physics Laboratory,Civil,Technology Development,,LEO,Non-Polar Inclined,0.00,403,408,3.69E-04,51.6,92.7,4,,,1/31/2019,,Johns Hopkins Applied Physics Laboratory,USA,International Space Station,Nanorack Deployer,1998-067PV,44029,"Commercial, off-the-shelf spacecraft. Government supplied communications experiment.",JmSatcat/3_19
